회수,발언자,발언수
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,549
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,535
제303회[정례회](2021.11.01 ~ 2021.12.27),황인구 위원,408
제303회[정례회](2021.11.01 ~ 2021.12.27),이동현 위원,362
제303회[정례회](2021.11.01 ~ 2021.12.27),이호대 위원,345
제303회[정례회](2021.11.01 ~ 2021.12.27),양민규 위원,305
제303회[정례회](2021.11.01 ~ 2021.12.27),권순선 위원,302
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,289
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,224
제303회[정례회](2021.11.01 ~ 2021.12.27),김용연 위원,218
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,199
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,184
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,177
제303회[정례회](2021.11.01 ~ 2021.12.27),이석주 위원,163
제303회[정례회](2021.11.01 ~ 2021.12.27),위원장 최기찬,147
제303회[정례회](2021.11.01 ~ 2021.12.27),김상진 위원,144
제303회[정례회](2021.11.01 ~ 2021.12.27),전병주 위원,133
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,122
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,119
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,92
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 전병주,90
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,76
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,75
제303회[정례회](2021.11.01 ~ 2021.12.27),체육건강문화예술과장 오정훈,72
제303회[정례회](2021.11.01 ~ 2021.12.27),감사관 이민종,71
제303회[정례회](2021.11.01 ~ 2021.12.27),진로직업교육과장 이조복,66
제303회[정례회](2021.11.01 ~ 2021.12.27),교육재정과장 조성래,65
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,64
제303회[정례회](2021.11.01 ~ 2021.12.27),부위원장 김용연,63
제303회[정례회](2021.11.01 ~ 2021.12.27),학교안전공제회이사장 김형배,58
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,47
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설관리본부장 김재환,44
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,32
제303회[정례회](2021.11.01 ~ 2021.12.27),대변인 성현석,29
제303회[정례회](2021.11.01 ~ 2021.12.27),평생교육과장 김덕희,24
제303회[정례회](2021.11.01 ~ 2021.12.27),학생체육관장 최선희,22
제303회[정례회](2021.11.01 ~ 2021.12.27),학생교육원장 이종탁,20
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,17
제303회[정례회](2021.11.01 ~ 2021.12.27),정독도서관장 이길환,16
제303회[정례회](2021.11.01 ~ 2021.12.27),과학전시관장 김연배,10
제303회[정례회](2021.11.01 ~ 2021.12.27),강서도서관장 이명하,10
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,10
제303회[정례회](2021.11.01 ~ 2021.12.27),정책ㆍ안전기획관 한만중,10
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육진흥원장 강경숙,9
제303회[정례회](2021.11.01 ~ 2021.12.27),학교안정공제회사무국장 한창화,8
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,7
제303회[정례회](2021.11.01 ~ 2021.12.27),마포평생학습관장 김원식,4
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연수원장 송형세,3
제303회[정례회](2021.11.01 ~ 2021.12.27),강남서초교육지원청장 조영상,1
