이름,자치구,빈도
김진수 위원,중구,1
교육감 조희연,중랑구,2
교육감 조희연,동작구,1
송재형 위원,중구,1
송재형 위원,강동구,1
강구덕 위원,금천구,2
허기회 위원,관악구,1
오경환 위원,마포구,6
박기열 위원,중구,3
박기열 위원,중랑구,1
박기열 위원,동작구,8
박기열 위원,금천구,5
박기열 위원,관악구,2
박기열 위원,종로구,3
박기열 위원,구로구,3
박기열 위원,양천구,1
박기열 위원,은평구,1
박기열 위원,강서구,5
박기열 위원,서초구,4
박기열 위원,노원구,2
박기열 위원,동대문구,1
박기열 위원,영등포구,2
박기열 위원,서대문구,2
장인홍 위원,종로구,2
장인홍 위원,구로구,3
장인홍 위원,양천구,2
장인홍 위원,강서구,1
장인홍 위원,성북구,1
기획조정실장 정병익,마포구,1
기획조정실장 정병익,강남구,1
기획조정실장 정병익,용산구,1
중부교육지원청교육장 전종보,중구,1
중부교육지원청교육장 전종보,종로구,1
중부교육지원청교육장 전종보,용산구,2
이정훈 위원,중구,1
이정훈 위원,강동구,1
이정훈 위원,종로구,1
이정훈 위원,송파구,2
중부교육지원청교육지원국장 유재준,중구,1
중부교육지원청교육지원국장 유재준,종로구,1
중부교육지원청교육지원국장 유재준,용산구,1
참여협력담당관 양희두,종로구,2
참여협력담당관 양희두,서초구,3
김경자(양천),강동구,1
김경자(양천),양천구,7
김경자(양천),성북구,4
교육행정국장 백종대,중랑구,1
교육행정국장 백종대,강서구,1
교육행정국장 백종대,서초구,1
교육행정국장 백종대,광진구,2
강성언 위원,성북구,9
강성언 위원,강북구,14
학교지원과장 신재웅,중랑구,1
과학전시관장 김선주,중구,1
과학전시관장 김선주,중랑구,1
과학전시관장 김선주,금천구,1
과학전시관장 김선주,관악구,3
과학전시관장 김선주,구로구,2
문형주 위원,은평구,1
문형주 위원,서대문구,1
교육정책국장 윤오영,구로구,3
교육정책국장 윤오영,강서구,2
교육정책국장 윤오영,서초구,1
교육정책국장 윤오영,노원구,1
교육정책국장 윤오영,송파구,2
유아교육과장 정혜손,금천구,1
유아교육과장 정혜손,구로구,1
유아교육과장 정혜손,강서구,1
유아교육진흥원장 이경희,도봉구,1
