서울특별시의회 회의록 제303회[정례회](2021.11.01 ~ 2021.12.27),주석
회 행정사무감사 및 조사에 관한 조례,
회 행정사무감사 및 조사에 관한 조례,
 그 법적 근거가 없다고 한다면 조례,
물을 철거할 수 있는 그런 근거 조례,
선이 나오기 때문에 점점 학생인권조례,
"기초해서, 특히 저희 지방행정은 조례",
 생각합니다. 특히나 법률 특히 조례,
기 때문에 그런 부분에 있어서는 조례,
요. 지금 위원님 기억하시겠지만 조례,
는 것까지는 총무과에서 주도해서 조례,
사실 저희가 올해 적극행정위원회 조례,
 있다고 생각합니다. 맞습니다. 조례,
으로 반영하지만 굵은 것은 통상 조례,
런 차원에서 위원님들이 발의하신 조례,
2020년 7월에 제정이 됐죠? 조례,
"기금 아직 생각이 없는 거예요, 조례",
 추경에 일부 반영하려고 했지만 조례,
례 관련 법률이 개정되는 바람에 조례,
 하고 있습니다. 그럼 뭐 하러 조례,
 따라잡도록 그렇게 하겠습니다. 조례,
 학교홈페이지 운영 활성화 지원 조례,
해 달라 이런 것들을 얘기했는데 조례,
로 설정하여 운영되었다. 그런데 조례,
 학교홈페이지 운영 활성화 지원 조례,
저는 또 모르시는 줄 알고. 이 조례,
회 행정사무감사 및 조사에 관한 조례,
에 스마트기기 이런 용도로 일단 조례,
표기가 되어 있기 때문에요. 그 조례,
9년 2월 그때 학교통합지원센터 조례,실제 조례가 존재하지 않아 제외하였습니다.
제가 발의한 에너지 절약 관련된 조례,
 만드는 자문위원회보다는 법이나 조례,
나 규정적으로 되어 있는 법령과 조례,
회 행정사무감사 및 조사에 관한 조례,
회 행정사무감사 및 조사에 관한 조례,
원센터 이것이 2019년 2월에 조례,
회 행정사무감사 및 조사에 관한 조례,
회 행정사무감사 및 조사에 관한 조례,
에서 고생을 많이 해 주시고 또 조례,
. 제가 이번에 기숙사하고 관련 조례,
발의한 것 알고 계신가요? 네. 조례,
지하는 방향으로 가고 학생 인권 조례,
교육청 학교 기숙사 운영에 관한 조례,
교육청 학교 기숙사 운영에 관한 조례,
 제가 말씀드리고 싶은 것은 그 조례,
하셨고요. 또 위원님이 발의하신 조례,
"고, 법률로 하는 규정이 아니고 조례",
는 규정이 아니고 조례로 한다면 조례,
사에서 가격을 사실 정하고 있고 조례,
" 힘들었지만, 우리 교육청 행복 조례",
? 지금 제가 알기로 올해 행복 조례,
겠습니다. 꼭 한번 해 주세요. 조례,
 해 주세요. 조례로 만들어졌고 조례,
되는 거니까 좀 더……. 그래서 조례,
과 이런 것도 고민해 줘야 되고 조례,
 그러면서 또 지적해야 되는 게 조례,
지입니다. 우리 서울시의회 기본 조례,
회 기본 조례가 있고 여기 기본 조례,
시장님이 그러셨습니다. 규칙이나 조례,
라는 사람이 규칙도 지키지 않고 조례,
말씀드리는 것도 마찬가지로 행복 조례,
…. 이거는 서울특별시 학생인권 조례,
과하는 것은 서울특별시 학생인권 조례,
"리고, 역시 서울특별시 학생인권 조례",
회 행정사무감사 및 조사에 관한 조례,
주의 상징물의 사용 제한에 관한 조례,
는 데 관점을 두고……. 그런데 조례,
이런 것들은 다 고려하고 그러면 조례,
 서울시에서 박원순 시장 시절에 조례,
생선수 학습권 보장 및 인권보호 조례,
지하면서 바뀐 것이 있는데 우리 조례,
어 있단 말이지. 그런데 우리는 조례,
 있지만 좀 더 신경 써서……. 조례,
은 것도 한번 검토해 보시고 그 조례,
권한은 교장에게 있습니다. 그게 조례,
고 최근에 상정은 안 됐습니다만 조례,
을 우리 위원님들 계시니까 한번 조례,
체 주차시설이 있으니까. 그것을 조례,
니다. 그런 사례가 있었습니다. 조례,
 그리고 실제 우리 서울시교육청 조례,
청 조례에 화장지 비치와 관련된 조례,화장실 관리 조례라고 판단하여 추가하였습니다.
은 서울특별시교육청 화장실 관리 조례,
 조례에 위반한 내용입니다. 이 조례,
을 비치해야 한다고 화장실 관련 조례,
회 행정사무감사 및 조사에 관한 조례,
회 행정사무감사 및 조사에 관한 조례,
"인, 특히 여기 서울시의 경우는 조례",
 기관이 아니거든요. 그래서 그 조례,
생각해서 저희가 법적인 미비점을 조례,
 의회에서도 입법예고를 합니다. 조례,
회 행정사무감사 및 조사에 관한 조례,
"리수음수대가 설치되어 있습니다, 조례",
와서 하겠죠. 그런데 지금 공공 조례,공공 조례라는 말이 너무 넓은 범위를 나타내는 것 같아 일단 제외하였습니다.
 특수학급 설치 및 지원에 관한 조례,
 설치하도록 한 부분도 있고요. 조례,
 하시더라. 제가 지난 회기 때 조례,
회 행정사무감사 및 조사에 관한 조례,
. 더욱이 동 사업 추진을 위한 조례,
드리겠습니다만 이 부분은 사실은 조례,
대해서 제가 지식재산교육에 관한 조례,
년도 8월에 장학생 선발에 관한 조례,
 지적사항이 있었습니다. 그래서 조례,
